hosting_id,commodity_raw,commodity_normalized
9005989,Kitchen,Kitchen
9501054,Window AC unit,Air conditioning
9501054,Carbon monoxide alarm,Carbon monoxide alarm
9501054,Dedicated workspace,Workspace
9501054,Hangers,Hangers
9501054,Hot water,Other
9501054,Lockbox,Lock
9501054,Smoke alarm,Smoke alarm
9501054,Essentials,Essentials
9501054,Self check-in,Self check-in
9501054,TV with standard cable,TV
9501054,Long term stays allowed,Long term stays
9501054,Refrigerator,Refrigerator
9501054,Wifi,WiFi
9501054,Coffee maker,Coffee maker
9501054,Iron,Iron
9501054,Heating,Heating
9501054,Free street parking,Parking
9501054,Microwave,Microwave
9501054,Hair dryer,Dryer
10768745,Window AC unit,Air conditioning
10768745,Carbon monoxide alarm,Carbon monoxide alarm
10768745,Dedicated workspace,Workspace
10768745,Hangers,Hangers
10768745,Single level home,Other
10768745,Lockbox,Lock
10768745,Smoke alarm,Smoke alarm
10768745,Essentials,Essentials
10768745,Self check-in,Self check-in
10768745,TV with standard cable,TV
10768745,Refrigerator,Refrigerator
10768745,Wifi,WiFi
10768745,Patio or balcony,Patio
10768745,Iron,Iron
10768745,Free parking on premises,Parking
10768745,Heating,Heating
10768745,Microwave,Microwave
10768745,Hair dryer,Dryer
11253948,"65 inch HDTV with Roku, premium cable, Amazon Prime Video, standard cable, Apple TV, Netflix, Hulu",TV
11253948,Baby safety gates,Other
11253948,Barbecue utensils,BBQ grill
11253948,Self check-in,Self check-in
11253948,Refrigerator,Refrigerator
11253948,Fire extinguisher,Fire extinguisher
11253948,Wifi,WiFi
11253948,Free washer – In unit,Washer
11253948,Free dryer – In unit,Dryer
11253948,Pets allowed,Pets allowed
11253948,Exterior security cameras on property,Lock
11253948,Hangers,Hangers
11253948,Smoke alarm,Smoke alarm
11253948,Shampoo,Essentials
11253948,Board games,Board games
11253948,Coffee maker,Coffee maker
11253948,Iron,Iron
11253948,First aid kit,First aid kit
11253948,GE stainless steel gas stove,Oven
11253948,Garden view,Garden
11253948,Dedicated workspace,Workspace
11253948,Sonos sound system with Bluetooth and aux,Sound system
11253948,Indoor fireplace: gas,Heating
11253948,High chair,High chair
11253948,Books and reading material,Books
11253948,Long term stays allowed,Long term stays
11253948,Free parking on premises,Parking
11253948,Private patio or balcony,Patio
11253948,Window AC unit,Air conditioning
11253948,Carbon monoxide alarm,Carbon monoxide alarm
11253948,Pack ’n play/Travel crib,Crib
11253948,Microwave,Microwave
11253948,Kitchen,Kitchen
11639446,Host greets you,Host greets you
11639446,Carbon monoxide alarm,Carbon monoxide alarm
11639446,Gas stove,Oven
11639446,Hangers,Hangers
11639446,Hot water,Other
11639446,Smoke alarm,Smoke alarm
11639446,Essentials,Essentials
11639446,Books and reading material,Books
11639446,Long term stays allowed,Long term stays
11639446,Refrigerator,Refrigerator
11639446,Wifi,WiFi
11639446,Free washer – In building,Washer
11639446,Free dryer – In building,Dryer
11639446,Heating,Heating
11639446,First aid kit,First aid kit
11639446,Free street parking,Parking
11639446,Microwave,Microwave
11639446,Kitchen,Kitchen
12799126,Window AC unit,Air conditioning
12799126,Kitchen,Kitchen
12799126,Host greets you,Host greets you
12799126,Carbon monoxide alarm,Carbon monoxide alarm
12799126,Dedicated workspace,Workspace
12799126,Hangers,Hangers
12799126,Single level home,Other
12799126,Barbecue utensils,BBQ grill
12799126,Smoke alarm,Smoke alarm
12799126,Essentials,Essentials
12799126,Shared patio or balcony,Patio
12799126,Stove,Oven
12799126,Books and reading material,Books
12799126,Long term stays allowed,Long term stays
12799126,Refrigerator,Refrigerator
12799126,Wifi,WiFi
12799126,Lock on bedroom door,Lock
12799126,Iron,Iron
12799126,Heating,Heating
12799126,Exercise equipment,Gym
12799126,Washer,Washer
12799126,Dryer,Dryer
12799126,Microwave,Microwave
12799126,Free street parking,Parking
12799126,HDTV with Netflix,TV
13083497,Babysitter recommendations,Other
13083497,Exterior security cameras on property,Lock
13083497,Carbon monoxide alarm,Carbon monoxide alarm
13083497,Gas stove,Oven
13083497,Hangers,Hangers
13083497,Smoke alarm,Smoke alarm
13083497,Essentials,Essentials
13083497,High chair,High chair
13083497,BBQ grill,BBQ grill
13083497,Crib,Crib
13083497,Self check-in,Self check-in
13083497,Books and reading material,Books
13083497,Private backyard – Not fully fenced,Garden
13083497,Long term stays allowed,Long term stays
13083497,Refrigerator,Refrigerator
13083497,Fire extinguisher,Fire extinguisher
13083497,Wifi,WiFi
13083497,Free driveway parking on premises – 2 spaces,Parking
13083497,Central air conditioning,Air conditioning
13083497,Coffee maker,Coffee maker
13083497,Iron,Iron
13083497,Heating,Heating
13083497,Free washer – In unit,Washer
13083497,Free dryer – In unit,Dryer
13083497,Private patio or balcony,Patio
13083497,Microwave,Microwave
13083497,40 inch HDTV with standard cable,TV
13083497,Kitchen,Kitchen
14316232,Window AC unit,Air conditioning
14316232,Carbon monoxide alarm,Carbon monoxide alarm
14316232,Dedicated workspace,Workspace
14316232,Hangers,Hangers
14316232,"Coffee maker: drip coffee maker, Keurig coffee machine",Coffee maker
14316232,Central heating,Heating
14316232,Hot water,Other
14316232,Shared backyard – Fully fenced,Garden
14316232,Smoke alarm,Smoke alarm
14316232,Essentials,Essentials
14316232,Self check-in,Self check-in
14316232,Stove,Oven
14316232,Books and reading material,Books
14316232,Long term stays allowed,Long term stays
14316232,Refrigerator,Refrigerator
14316232,Fire extinguisher,Fire extinguisher
14316232,Free driveway parking on premises,Parking
14316232,Wifi,WiFi
14316232,Lock on bedroom door,Lock
14316232,TV,TV
14316232,Iron,Iron
14316232,Free washer – In unit,Washer
14316232,Free dryer – In unit,Dryer
14316232,First aid kit,First aid kit
14316232,Microwave,Microwave
14316232,Kitchen,Kitchen
14989805,Children’s dinnerware,Other
14989805,Exterior security cameras on property,Lock
14989805,Carbon monoxide alarm,Carbon monoxide alarm
14989805,Dedicated workspace,Workspace
14989805,Hangers,Hangers
14989805,Electric stove,Oven
14989805,Smoke alarm,Smoke alarm
14989805,Essentials,Essentials
14989805,High chair,High chair
14989805,BBQ grill,BBQ grill
14989805,Crib,Crib
14989805,Self check-in,Self check-in
14989805,Fire extinguisher,Fire extinguisher
14989805,Refrigerator,Refrigerator
14989805,Wifi,WiFi
14989805,"55 inch HDTV with Amazon Prime Video, Apple TV, Hulu, Netflix, premium cable, Roku, standard cable",TV
14989805,Board games,Board games
14989805,Lake access,Beach access
14989805,Central air conditioning,Air conditioning
14989805,Coffee maker,Coffee maker
14989805,Iron,Iron
14989805,Free parking on premises,Parking
14989805,Private backyard – Fully fenced,Garden
14989805,Heating,Heating
14989805,Free washer – In unit,Washer
14989805,Free dryer – In unit,Dryer
14989805,First aid kit,First aid kit
14989805,Microwave,Microwave
14989805,Pets allowed,Pets allowed
14989805,Children’s books and toys,Books
14989805,Kitchen,Kitchen
15580397,Smart lock,Lock
15580397,Carbon monoxide alarm,Carbon monoxide alarm
15580397,Dedicated workspace,Workspace
15580397,Hangers,Hangers
15580397,Bed linens,Other
15580397,Smoke alarm,Smoke alarm
15580397,Essentials,Essentials
15580397,Self check-in,Self check-in
15580397,Books and reading material,Books
15580397,Long term stays allowed,Long term stays
15580397,Fire extinguisher,Fire extinguisher
15580397,"40 inch HDTV with Fire TV, Hulu, Netflix",TV
15580397,Wifi,WiFi
15580397,Mini fridge,Refrigerator
15580397,Coffee maker,Coffee maker
15580397,Iron,Iron
15580397,Heating,Heating
15580397,Free street parking,Parking
15580397,Microwave,Microwave
15580397,Hair dryer,Dryer
16531782,Window AC unit,Air conditioning
16531782,Carbon monoxide alarm,Carbon monoxide alarm
16531782,Dedicated workspace,Workspace
16531782,Hangers,Hangers
16531782,Single level home,Other
16531782,Smoke alarm,Smoke alarm
16531782,Essentials,Essentials
16531782,HDTV,TV
16531782,Long term stays allowed,Long term stays
16531782,Refrigerator,Refrigerator
16531782,Wifi,WiFi
16531782,Patio or balcony,Patio
16531782,Coffee maker,Coffee maker
16531782,Iron,Iron
16531782,Free parking on premises,Parking
16531782,Heating,Heating
16531782,Hair dryer,Dryer
16531782,Kitchen,Kitchen
17238066,Host greets you,Host greets you
17238066,Carbon monoxide alarm,Carbon monoxide alarm
17238066,Hangers,Hangers
17238066,Hot water,Other
17238066,Smoke alarm,Smoke alarm
17238066,Essentials,Essentials
17238066,Stove,Oven
17238066,Books and reading material,Books
17238066,Long term stays allowed,Long term stays
17238066,Refrigerator,Refrigerator
17238066,Fire extinguisher,Fire extinguisher
17238066,Wifi,WiFi
17238066,Free washer – In building,Washer
17238066,Coffee maker,Coffee maker
17238066,Free dryer – In building,Dryer
17238066,Heating,Heating
17238066,First aid kit,First aid kit
17238066,Free street parking,Parking
17238066,Microwave,Microwave
17238066,Kitchen,Kitchen
17514620,Window AC unit,Air conditioning
17514620,Carbon monoxide alarm,Carbon monoxide alarm
17514620,Dedicated workspace,Workspace
17514620,Hangers,Hangers
17514620,Backyard,Garden
17514620,Central heating,Heating
17514620,Hot water,Other
17514620,Smoke alarm,Smoke alarm
17514620,Essentials,Essentials
17514620,Shared patio or balcony,Patio
17514620,Self check-in,Self check-in
17514620,Stove,Oven
17514620,Books and reading material,Books
17514620,Long term stays allowed,Long term stays
17514620,Refrigerator,Refrigerator
17514620,Fire extinguisher,Fire extinguisher
17514620,Free driveway parking on premises,Parking
17514620,Wifi,WiFi
17514620,Lock on bedroom door,Lock
17514620,TV,TV
17514620,Iron,Iron
17514620,Free washer – In unit,Washer
17514620,Free dryer – In unit,Dryer
17514620,First aid kit,First aid kit
17514620,Microwave,Microwave
17514620,Kitchen,Kitchen
17514620,Coffee maker: drip coffee maker,Coffee maker
18341426,Baby safety gates,Other
18341426,Barbecue utensils,BBQ grill
18341426,Self check-in,Self check-in
18341426,Refrigerator,Refrigerator
18341426,Fire extinguisher,Fire extinguisher
18341426,Wifi,WiFi
18341426,Central air conditioning,Air conditioning
18341426,Free washer – In unit,Washer
18341426,Free dryer – In unit,Dryer
18341426,Oven,Oven
18341426,Pets allowed,Pets allowed
18341426,"65 inch HDTV with Netflix, premium cable, Hulu, Roku, Amazon Prime Video",TV
18341426,Children’s books and toys,Books
18341426,Exterior security cameras on property,Lock
18341426,Hangers,Hangers
18341426,Organic body soap,Essentials
18341426,Smoke alarm,Smoke alarm
18341426,Board games,Board games
18341426,"Exercise equipment: free weights, yoga mat",Gym
18341426,Coffee maker,Coffee maker
18341426,Iron,Iron
18341426,First aid kit,First aid kit
18341426,Garden view,Garden
18341426,Dedicated workspace,Workspace
18341426,High chair,High chair
18341426,Long term stays allowed,Long term stays
18341426,Heating,Heating
18341426,Private patio or balcony,Patio
18341426,Carbon monoxide alarm,Carbon monoxide alarm
18341426,Crib,Crib
18341426,Bose sound system,Sound system
18341426,Free street parking,Parking
18341426,Microwave,Microwave
18341426,Kitchen,Kitchen
19527043,Carbon monoxide alarm,Carbon monoxide alarm
19527043,Hangers,Hangers
19527043,Hot water,Other
19527043,Smoke alarm,Smoke alarm
19527043,Essentials,Essentials
19527043,Shared patio or balcony,Patio
19527043,Self check-in,Self check-in
19527043,Stove,Oven
19527043,Refrigerator,Refrigerator
19527043,Fire extinguisher,Fire extinguisher
19527043,Wifi,WiFi
19527043,Air conditioning,Air conditioning
19527043,Lock on bedroom door,Lock
19527043,TV,TV
19527043,Coffee maker,Coffee maker
19527043,Iron,Iron
19527043,Free parking on premises,Parking
19527043,Heating,Heating
19527043,Dishwasher,Washer
19527043,Dryer,Dryer
19527043,Microwave,Microwave
19527043,Kitchen,Kitchen
19822913,Window AC unit,Air conditioning
19822913,Exterior security cameras on property,Lock
19822913,Kitchen,Kitchen
19822913,Carbon monoxide alarm,Carbon monoxide alarm
19822913,Dedicated workspace,Workspace
19822913,Gas stove,Oven
19822913,Hangers,Hangers
19822913,Barbecue utensils,BBQ grill
19822913,Bed linens,Other
19822913,Smoke alarm,Smoke alarm
19822913,Long term stays allowed,Long term stays
19822913,Refrigerator,Refrigerator
19822913,Fire extinguisher,Fire extinguisher
19822913,Wifi,WiFi
19822913,Body soap,Essentials
19822913,Private backyard,Garden
19822913,TV,TV
19822913,Iron,Iron
19822913,Free parking on premises,Parking
19822913,Heating,Heating
19822913,First aid kit,First aid kit
19822913,Microwave,Microwave
19822913,Hair dryer,Dryer
19822913,Pets allowed,Pets allowed
20519885,Carbon monoxide alarm,Carbon monoxide alarm
20519885,Dedicated workspace,Workspace
20519885,Hangers,Hangers
20519885,Hot water,Other
20519885,Lockbox,Lock
20519885,Smoke alarm,Smoke alarm
20519885,Essentials,Essentials
20519885,High chair,High chair
20519885,Crib,Crib
20519885,Self check-in,Self check-in
20519885,Stove,Oven
20519885,Long term stays allowed,Long term stays
20519885,Refrigerator,Refrigerator
20519885,Fire extinguisher,Fire extinguisher
20519885,Wifi,WiFi
20519885,Air conditioning,Air conditioning
20519885,TV,TV
20519885,Coffee maker,Coffee maker
20519885,Iron,Iron
20519885,Free parking on premises,Parking
20519885,Heating,Heating
20519885,Dishwasher,Washer
20519885,First aid kit,First aid kit
20519885,Dryer,Dryer
20519885,Microwave,Microwave
20519885,Kitchen,Kitchen
20620135,Exterior security cameras on property,Lock
20620135,Carbon monoxide alarm,Carbon monoxide alarm
20620135,Dedicated workspace,Workspace
20620135,Hangers,Hangers
20620135,Dryer – In unit,Dryer
20620135,Single level home,Other
20620135,Smoke alarm,Smoke alarm
20620135,Essentials,Essentials
20620135,BBQ grill,BBQ grill
20620135,Self check-in,Self check-in
20620135,Stove,Oven
20620135,TV with standard cable,TV
20620135,Long term stays allowed,Long term stays
20620135,Pack ’n play/Travel crib,Crib
20620135,Fire extinguisher,Fire extinguisher
20620135,Refrigerator,Refrigerator
20620135,Wifi,WiFi
20620135,Central air conditioning,Air conditioning
20620135,Coffee maker,Coffee maker
20620135,Iron,Iron
20620135,Free parking on premises,Parking
20620135,Private backyard – Fully fenced,Garden
20620135,Heating,Heating
20620135,Dishwasher,Washer
20620135,First aid kit,First aid kit
20620135,Microwave,Microwave
20620135,Pets allowed,Pets allowed
20620135,Kitchen,Kitchen
20633175,Window AC unit,Air conditioning
20633175,Carbon monoxide alarm,Carbon monoxide alarm
20633175,Dedicated workspace,Workspace
20633175,Gas stove,Oven
20633175,Hangers,Hangers
20633175,Hot water kettle,Other
20633175,Central heating,Heating
20633175,Lockbox,Lock
20633175,Shared backyard – Fully fenced,Garden
20633175,Smoke alarm,Smoke alarm
20633175,Essentials,Essentials
20633175,Coffee maker: Keurig coffee machine,Coffee maker
20633175,Self check-in,Self check-in
20633175,Books and reading material,Books
20633175,Long term stays allowed,Long term stays
20633175,Refrigerator,Refrigerator
20633175,Fire extinguisher,Fire extinguisher
20633175,Wifi – 49 Mbps,WiFi
20633175,Iron,Iron
20633175,First aid kit,First aid kit
20633175,Free street parking,Parking
20633175,Microwave,Microwave
20633175,Hair dryer,Dryer
20633175,Pets allowed,Pets allowed
20633175,"HDTV with Amazon Prime Video, Netflix, DVD player",TV
20633175,Kitchen,Kitchen
20671966,Carbon monoxide alarm,Carbon monoxide alarm
20671966,Dedicated workspace,Workspace
20671966,Hangers,Hangers
20671966,Backyard,Garden
20671966,Hot water,Other
20671966,Smoke alarm,Smoke alarm
20671966,Essentials,Essentials
20671966,Coffee maker: Keurig coffee machine,Coffee maker
20671966,Self check-in,Self check-in
20671966,Stove,Oven
20671966,TV with standard cable,TV
20671966,Long term stays allowed,Long term stays
20671966,Refrigerator,Refrigerator
20671966,Fire extinguisher,Fire extinguisher
20671966,Wifi,WiFi
20671966,Air conditioning,Air conditioning
20671966,Keypad,Lock
20671966,Iron,Iron
20671966,Free parking on premises,Parking
20671966,Heating,Heating
20671966,First aid kit,First aid kit
20671966,Dryer,Dryer
20671966,Washer,Washer
20671966,Microwave,Microwave
20671966,Kitchen,Kitchen
21052414,Window AC unit,Air conditioning
21052414,Carbon monoxide alarm,Carbon monoxide alarm
21052414,Dedicated workspace,Workspace
21052414,Hangers,Hangers
21052414,Backyard,Garden
21052414,Central heating,Heating
21052414,Hot water,Other
21052414,Smoke alarm,Smoke alarm
21052414,Essentials,Essentials
21052414,Shared patio or balcony,Patio
21052414,TV with Roku,TV
21052414,Self check-in,Self check-in
21052414,Stove,Oven
21052414,Books and reading material,Books
21052414,Long term stays allowed,Long term stays
21052414,Refrigerator,Refrigerator
21052414,Fire extinguisher,Fire extinguisher
21052414,Wifi,WiFi
21052414,Lock on bedroom door,Lock
21052414,Iron,Iron
21052414,Free washer – In unit,Washer
21052414,Free dryer – In unit,Dryer
21052414,First aid kit,First aid kit
21052414,Free street parking,Parking
21052414,Microwave,Microwave
21052414,Kitchen,Kitchen
21052414,Coffee maker: drip coffee maker,Coffee maker
21392315,Carbon monoxide alarm,Carbon monoxide alarm
21392315,Dedicated workspace,Workspace
21392315,Hangers,Hangers
21392315,Paid dryer – In building,Dryer
21392315,Bed linens,Other
21392315,Smoke alarm,Smoke alarm
21392315,Essentials,Essentials
21392315,Coffee maker: Keurig coffee machine,Coffee maker
21392315,Portable air conditioning,Air conditioning
21392315,Self check-in,Self check-in
21392315,Stove,Oven
21392315,TV with standard cable,TV
21392315,Long term stays allowed,Long term stays
21392315,Refrigerator,Refrigerator
21392315,Fire extinguisher,Fire extinguisher
21392315,Paid washer – In building,Washer
21392315,Wifi,WiFi
21392315,Keypad,Lock
21392315,Iron,Iron
21392315,Free parking on premises,Parking
21392315,Private backyard – Fully fenced,Garden
21392315,Heating,Heating
21392315,First aid kit,First aid kit
21392315,Microwave,Microwave
21392315,Kitchen,Kitchen
21449583,Smart lock,Lock
21449583,Changing table - available upon request,Other
21449583,Carbon monoxide alarm,Carbon monoxide alarm
21449583,Dedicated workspace,Workspace
21449583,Hangers,Hangers
21449583,Barbecue utensils,BBQ grill
21449583,Sound system,Sound system
21449583,Smoke alarm,Smoke alarm
21449583,Shampoo,Essentials
21449583,Crib,Crib
21449583,Self check-in,Self check-in
21449583,Stove,Oven
21449583,Books and reading material,Books
21449583,Long term stays allowed,Long term stays
21449583,Fire extinguisher,Fire extinguisher
21449583,Refrigerator,Refrigerator
21449583,Wifi,WiFi
21449583,"HDTV with Amazon Prime Video, Apple TV, Hulu, Netflix, premium cable, Roku",TV
21449583,Board games,Board games
21449583,Private backyard,Garden
21449583,Central air conditioning,Air conditioning
21449583,Coffee maker,Coffee maker
21449583,Iron,Iron
21449583,Free parking on premises,Parking
21449583,Washer – In unit,Washer
21449583,Heating,Heating
21449583,Private patio or balcony,Patio
21449583,First aid kit,First aid kit
21449583,Dryer,Dryer
21449583,Pets allowed,Pets allowed
21449583,Kitchen,Kitchen
21752534,Window AC unit,Air conditioning
21752534,Carbon monoxide alarm,Carbon monoxide alarm
21752534,Dedicated workspace,Workspace
21752534,Hangers,Hangers
21752534,Hot water kettle,Other
21752534,Smoke alarm,Smoke alarm
21752534,Essentials,Essentials
21752534,Self check-in,Self check-in
21752534,Stove,Oven
21752534,Coffee,Coffee maker
21752534,Books and reading material,Books
21752534,Long term stays allowed,Long term stays
21752534,Refrigerator,Refrigerator
21752534,Wifi,WiFi
21752534,TV,TV
21752534,Iron,Iron
21752534,Heating,Heating
21752534,Free street parking,Parking
21752534,Microwave,Microwave
21752534,Hair dryer,Dryer
21752534,Kitchen,Kitchen
21769213,Window AC unit,Air conditioning
21769213,Carbon monoxide alarm,Carbon monoxide alarm
21769213,Dedicated workspace,Workspace
21769213,Hangers,Hangers
21769213,Hot water,Other
21769213,Shared backyard – Fully fenced,Garden
21769213,Smoke alarm,Smoke alarm
21769213,Essentials,Essentials
21769213,Shared patio or balcony,Patio
21769213,Self check-in,Self check-in
21769213,Stove,Oven
21769213,Books and reading material,Books
21769213,Long term stays allowed,Long term stays
21769213,Refrigerator,Refrigerator
21769213,Fire extinguisher,Fire extinguisher
21769213,Wifi,WiFi
21769213,Lock on bedroom door,Lock
21769213,TV,TV
21769213,Iron,Iron
21769213,Free washer – In unit,Washer
21769213,Free dryer – In unit,Dryer
21769213,Radiant heating,Heating
21769213,First aid kit,First aid kit
21769213,Free street parking,Parking
21769213,Microwave,Microwave
21769213,Kitchen,Kitchen
21769213,Coffee maker: drip coffee maker,Coffee maker
21769439,Window AC unit,Air conditioning
21769439,Carbon monoxide alarm,Carbon monoxide alarm
21769439,Dedicated workspace,Workspace
21769439,Hangers,Hangers
21769439,Hot water,Other
21769439,Shared backyard – Fully fenced,Garden
21769439,Smoke alarm,Smoke alarm
21769439,Essentials,Essentials
21769439,Shared patio or balcony,Patio
21769439,Self check-in,Self check-in
21769439,Stove,Oven
21769439,Books and reading material,Books
21769439,Long term stays allowed,Long term stays
21769439,Refrigerator,Refrigerator
21769439,Fire extinguisher,Fire extinguisher
21769439,Wifi,WiFi
21769439,Lock on bedroom door,Lock
21769439,TV,TV
21769439,Iron,Iron
21769439,Free washer – In unit,Washer
21769439,Free dryer – In unit,Dryer
21769439,Radiant heating,Heating
21769439,First aid kit,First aid kit
21769439,Free street parking,Parking
21769439,Microwave,Microwave
21769439,Coffee maker: drip coffee maker,Coffee maker
22398196,Window AC unit,Air conditioning
22398196,Carbon monoxide alarm,Carbon monoxide alarm
22398196,Dedicated workspace,Workspace
22398196,Hangers,Hangers
22398196,Backyard,Garden
22398196,Hot water,Other
22398196,Smoke alarm,Smoke alarm
22398196,Essentials,Essentials
22398196,Self check-in,Self check-in
22398196,TV with standard cable,TV
22398196,Long term stays allowed,Long term stays
22398196,Refrigerator,Refrigerator
22398196,Fire extinguisher,Fire extinguisher
22398196,Wifi,WiFi
22398196,Patio or balcony,Patio
22398196,Lock on bedroom door,Lock
22398196,Coffee maker,Coffee maker
22398196,Iron,Iron
22398196,Free parking on premises,Parking
22398196,Heating,Heating
22398196,First aid kit,First aid kit
22398196,Washer,Washer
22398196,Dryer,Dryer
22398196,Kitchen,Kitchen
24606880,Window AC unit,Air conditioning
24606880,Carbon monoxide alarm,Carbon monoxide alarm
24606880,Dedicated workspace,Workspace
24606880,Hangers,Hangers
24606880,Backyard,Garden
24606880,Hot water,Other
24606880,Smoke alarm,Smoke alarm
24606880,Essentials,Essentials
24606880,Self check-in,Self check-in
24606880,Stove,Oven
24606880,TV with standard cable,TV
24606880,Long term stays allowed,Long term stays
24606880,Refrigerator,Refrigerator
24606880,Fire extinguisher,Fire extinguisher
24606880,Wifi,WiFi
24606880,Lock on bedroom door,Lock
24606880,Coffee maker,Coffee maker
24606880,Iron,Iron
24606880,Free parking on premises,Parking
24606880,Heating,Heating
24606880,Dryer,Dryer
24606880,Washer,Washer
24606880,Microwave,Microwave
24606880,Kitchen,Kitchen
25549565,Window AC unit,Air conditioning
25549565,Carbon monoxide alarm,Carbon monoxide alarm
25549565,Dedicated workspace,Workspace
25549565,Hangers,Hangers
25549565,Central heating,Heating
25549565,Room-darkening shades,Other
25549565,Lockbox,Lock
25549565,Smoke alarm,Smoke alarm
25549565,Essentials,Essentials
25549565,Self check-in,Self check-in
25549565,Coffee,Coffee maker
25549565,Books and reading material,Books
25549565,Private backyard – Not fully fenced,Garden
25549565,Long term stays allowed,Long term stays
25549565,Fire extinguisher,Fire extinguisher
25549565,Wifi,WiFi
25549565,Mini fridge,Refrigerator
25549565,"32 inch HDTV with HBO Max, Roku, standard cable, Hulu, Amazon Prime Video, Netflix",TV
25549565,Iron,Iron
25549565,Kitchenette,Kitchen
25549565,Paid parking lot off premises,Parking
25549565,Private patio or balcony,Patio
25549565,Microwave,Microwave
26139592,Exterior security cameras on property,Lock
26139592,Carbon monoxide alarm,Carbon monoxide alarm
26139592,Dedicated workspace,Workspace
26139592,Hangers,Hangers
26139592,Smoke alarm,Smoke alarm
26139592,Essentials,Essentials
26139592,Self check-in,Self check-in
26139592,Dishes and silverware,Other
26139592,Stove,Oven
26139592,Refrigerator,Refrigerator
26139592,Fire extinguisher,Fire extinguisher
26139592,Wifi,WiFi
26139592,Air conditioning,Air conditioning
26139592,TV,TV
26139592,Coffee maker,Coffee maker
26139592,Iron,Iron
26139592,Free parking on premises,Parking
26139592,Heating,Heating
26139592,Dishwasher,Washer
26139592,First aid kit,First aid kit
26139592,Dryer,Dryer
26139592,Microwave,Microwave
26139592,Kitchen,Kitchen
27670660,Window AC unit,Air conditioning
27670660,Paid washer,Washer
27670660,Carbon monoxide alarm,Carbon monoxide alarm
27670660,Dedicated workspace,Workspace
27670660,Hangers,Hangers
27670660,Paid dryer – In building,Dryer
27670660,Backyard,Garden
27670660,Hot water,Other
27670660,Smoke alarm,Smoke alarm
27670660,Essentials,Essentials
27670660,Self check-in,Self check-in
27670660,Stove,Oven
27670660,TV with standard cable,TV
