EVENT_NAME,EVENT_TYPE,IMPACT,PLACE_ID,EVENT_DATE
Local Holiday in Schenectady (USA),Holiday,Medium,TenBroeckSt_Schenectady_USA,2018-10-11 00:00:00
Pop Music Live in Schenectady (USA),Concert,High,TenBroeckSt_Schenectady_USA,2017-04-25 00:00:00
Music Festival in Troy (USA),Festival,High,SouthSt_Troy_USA,2024-06-02 00:00:00
Jazz Night in Troy (USA),Concert,High,SouthSt_Troy_USA,2018-04-24 00:00:00
National Celebration in Schenectady (USA),Holiday,Medium,DelawareAve_Schenectady_USA,2014-07-14 00:00:00
Business Summit in Albany (USA),Conference,High,DelawareAve_Albany_USA,2024-09-24 00:00:00
Cultural Festival in Albany (USA),Festival,High,DelawareAve_Albany_USA,2020-03-10 00:00:00
Football Match in Troy (USA),Sports,Medium,JaySt_Troy_USA,2023-01-18 00:00:00
Marathon in Troy (USA),Sports,High,JaySt_Troy_USA,2018-02-17 00:00:00
Music Festival in Albany (USA),Festival,Medium,TenBroeckSt_Albany_USA,2024-05-08 00:00:00
Marathon in Albany (USA),Sports,Low,JaySt_Albany_USA,2024-05-05 00:00:00
Music Festival in Schenectady (USA),Festival,High,LarkSt_Schenectady_USA,2019-12-12 00:00:00
Food Festival in Schenectady (USA),Festival,Low,LarkSt_Schenectady_USA,2021-11-23 00:00:00
Classical Concert in Albany (USA),Concert,Medium,PearlSt_Albany_USA,2020-05-31 00:00:00
National Celebration in Albany (USA),Holiday,High,ClintonAve_Albany_USA,2022-12-19 00:00:00
Basketball Tournament in Albany (USA),Sports,Medium,ClintonAve_Albany_USA,2025-08-28 00:00:00
AI Congress in Albany (USA),Conference,High,CentralAve_Albany_USA,2019-07-24 00:00:00
Food Festival in Albany (USA),Festival,Low,CentralAve_Albany_USA,2015-03-20 00:00:00
Food Festival in Albany (USA),Festival,High,JaySt_Albany_USA,2016-12-19 00:00:00
Food Festival in Troy (USA),Festival,Low,ParkAve_Troy_USA,2024-08-25 00:00:00
Cultural Festival in Troy (USA),Festival,Low,ParkAve_Troy_USA,2020-04-05 00:00:00
National Celebration in Troy (USA),Holiday,High,ClintonAve_Troy_USA,2015-12-24 00:00:00
Pop Music Live in Troy (USA),Concert,Low,PearlSt_Troy_USA,2023-04-18 00:00:00
City Anniversary in Troy (USA),Holiday,Low,PearlSt_Troy_USA,2015-07-22 00:00:00
Heritage Day in Albany (USA),Holiday,Medium,MadisonAve_Albany_USA,2019-02-08 00:00:00
Local Holiday in Albany (USA),Holiday,High,MadisonAve_Albany_USA,2021-10-28 00:00:00
Music Festival in Albany (USA),Festival,Medium,NorthSt_Albany_USA,2022-08-30 00:00:00
Tech Conference in Albany (USA),Conference,Low,NorthSt_Albany_USA,2016-08-23 00:00:00
National Celebration in Albany (USA),Holiday,Medium,ParkAve_Albany_USA,2016-07-21 00:00:00
AI Congress in Albany (USA),Conference,Low,ParkAve_Albany_USA,2024-04-20 00:00:00
Rock Concert in Albany (USA),Concert,Low,StateSt_Albany_USA,2021-10-23 00:00:00
Music Festival in Troy (USA),Festival,Low,Broadway_Troy_USA,2016-05-12 00:00:00
City Anniversary in Troy (USA),Holiday,Medium,Broadway_Troy_USA,2016-11-22 00:00:00
Food Festival in Albany (USA),Festival,Medium,LarkSt_Albany_USA,2014-07-09 00:00:00
AI Congress in Troy (USA),Conference,Medium,ParkAve_Troy_USA,2019-03-29 00:00:00
Pop Music Live in Troy (USA),Concert,Low,PearlSt_Troy_USA,2016-08-16 00:00:00
Business Summit in Troy (USA),Conference,Low,PearlSt_Troy_USA,2020-12-28 00:00:00
Rock Concert in Albany (USA),Concert,High,WesternAve_Albany_USA,2018-01-05 00:00:00
Music Festival in Albany (USA),Festival,High,WesternAve_Albany_USA,2019-11-04 00:00:00
Classical Concert in Albany (USA),Concert,Low,PearlSt_Albany_USA,2025-04-09 00:00:00
Rock Concert in Albany (USA),Concert,Low,PearlSt_Albany_USA,2015-04-07 00:00:00
Food Festival in Albany (USA),Festival,Medium,LarkSt_Albany_USA,2015-11-04 00:00:00
Classical Concert in Albany (USA),Concert,High,LarkSt_Albany_USA,2021-03-01 00:00:00
Film Festival in Troy (USA),Festival,High,ClintonAve_Troy_USA,2021-01-15 00:00:00
Jazz Night in Troy (USA),Concert,Medium,ClintonAve_Troy_USA,2016-10-14 00:00:00
Business Summit in Troy (USA),Conference,Medium,ParkAve_Troy_USA,2018-12-08 00:00:00
Basketball Tournament in Troy (USA),Sports,Medium,ParkAve_Troy_USA,2018-01-16 00:00:00
Rock Concert in Albany (USA),Concert,Low,ParkAve_Albany_USA,2020-07-11 00:00:00
Business Summit in Albany (USA),Conference,Medium,Broadway_Albany_USA,2024-05-17 00:00:00
Food Festival in Albany (USA),Festival,Medium,Broadway_Albany_USA,2017-09-10 00:00:00
Jazz Night in Albany (USA),Concert,High,CentralAve_Albany_USA,2025-07-12 00:00:00
Rock Concert in Schenectady (USA),Concert,High,NorthSt_Schenectady_USA,2023-08-29 00:00:00
Jazz Night in Schenectady (USA),Concert,High,NorthSt_Schenectady_USA,2015-08-29 00:00:00
Music Festival in Albany (USA),Festival,High,Broadway_Albany_USA,2020-09-13 00:00:00
Business Summit in Troy (USA),Conference,High,StateSt_Troy_USA,2018-05-05 00:00:00
AI Congress in Albany (USA),Conference,Medium,ParkAve_Albany_USA,2024-08-25 00:00:00
Music Festival in Albany (USA),Festival,High,ParkAve_Albany_USA,2019-03-31 00:00:00
Music Festival in Schenectady (USA),Festival,Medium,DelawareAve_Schenectady_USA,2023-02-22 00:00:00
Business Summit in Albany (USA),Conference,High,LarkSt_Albany_USA,2019-06-14 00:00:00
Pop Music Live in Albany (USA),Concert,High,LarkSt_Albany_USA,2014-08-09 00:00:00
Marathon in Albany (USA),Sports,Medium,ClintonAve_Albany_USA,2021-01-10 00:00:00
Classical Concert in Albany (USA),Concert,Medium,ClintonAve_Albany_USA,2015-12-05 00:00:00
Tech Conference in Albany (USA),Conference,Medium,SouthSt_Albany_USA,2016-11-07 00:00:00
Marathon in Albany (USA),Sports,Medium,HudsonAve_Albany_USA,2023-03-31 00:00:00
Pop Music Live in Albany (USA),Concert,High,HudsonAve_Albany_USA,2022-11-25 00:00:00
Food Festival in Albany (USA),Festival,High,PearlSt_Albany_USA,2024-11-11 00:00:00
National Celebration in Troy (USA),Holiday,Medium,LarkSt_Troy_USA,2016-04-13 00:00:00
Film Festival in Schenectady (USA),Festival,Low,SouthSt_Schenectady_USA,2024-02-15 00:00:00
National Celebration in Schenectady (USA),Holiday,Low,SouthSt_Schenectady_USA,2023-08-27 00:00:00
Startup Meetup in Albany (USA),Conference,Low,NorthSt_Albany_USA,2016-12-30 00:00:00
Triathlon in Albany (USA),Sports,Medium,JaySt_Albany_USA,2017-08-15 00:00:00
Cultural Festival in Albany (USA),Festival,Medium,JaySt_Albany_USA,2021-09-09 00:00:00
Heritage Day in Albany (USA),Holiday,Low,MadisonAve_Albany_USA,2015-10-16 00:00:00
Business Summit in Albany (USA),Conference,High,MadisonAve_Albany_USA,2025-04-16 00:00:00
Music Festival in Troy (USA),Festival,High,DelawareAve_Troy_USA,2019-05-15 00:00:00
AI Congress in Schenectady (USA),Conference,High,WesternAve_Schenectady_USA,2025-07-14 00:00:00
Film Festival in Albany (USA),Festival,High,HudsonAve_Albany_USA,2016-08-17 00:00:00
Tech Conference in Albany (USA),Conference,High,HudsonAve_Albany_USA,2019-05-22 00:00:00
Classical Concert in Troy (USA),Concert,Medium,TenBroeckSt_Troy_USA,2019-05-02 00:00:00
Cultural Festival in Troy (USA),Festival,High,TenBroeckSt_Troy_USA,2018-01-06 00:00:00
Cultural Festival in Schenectady (USA),Festival,High,JaySt_Schenectady_USA,2017-12-18 00:00:00
Heritage Day in Schenectady (USA),Holiday,Medium,JaySt_Schenectady_USA,2022-04-25 00:00:00
Classical Concert in Albany (USA),Concert,Low,NorthSt_Albany_USA,2019-03-19 00:00:00
National Celebration in Albany (USA),Holiday,High,WesternAve_Albany_USA,2020-11-17 00:00:00
AI Congress in Albany (USA),Conference,High,WesternAve_Albany_USA,2023-11-05 00:00:00
Business Summit in Albany (USA),Conference,Medium,Broadway_Albany_USA,2023-04-23 00:00:00
Jazz Night in Troy (USA),Concert,Medium,ClintonAve_Troy_USA,2019-06-14 00:00:00
National Celebration in Troy (USA),Holiday,High,ClintonAve_Troy_USA,2019-10-21 00:00:00
Marathon in Albany (USA),Sports,Medium,StateSt_Albany_USA,2020-04-11 00:00:00
Jazz Night in Albany (USA),Concert,Low,StateSt_Albany_USA,2023-09-04 00:00:00
Business Summit in Albany (USA),Conference,Low,NorthSt_Albany_USA,2016-02-24 00:00:00
Music Festival in Albany (USA),Festival,Low,NorthSt_Albany_USA,2025-07-13 00:00:00
Rock Concert in Albany (USA),Concert,Medium,WesternAve_Albany_USA,2019-02-22 00:00:00
Classical Concert in Troy (USA),Concert,High,NorthSt_Troy_USA,2022-04-22 00:00:00
City Anniversary in Troy (USA),Holiday,Medium,NorthSt_Troy_USA,2017-03-26 00:00:00
Music Festival in Albany (USA),Festival,Medium,ParkAve_Albany_USA,2016-12-13 00:00:00
Triathlon in Albany (USA),Sports,Low,ParkAve_Albany_USA,2020-09-30 00:00:00
Triathlon in Troy (USA),Sports,High,PearlSt_Troy_USA,2020-06-14 00:00:00
Jazz Night in Albany (USA),Concert,Medium,ParkAve_Albany_USA,2021-05-14 00:00:00
Pop Music Live in Albany (USA),Concert,High,ParkAve_Albany_USA,2019-07-01 00:00:00
City Anniversary in Schenectady (USA),Holiday,Medium,SouthSt_Schenectady_USA,2022-12-05 00:00:00
Basketball Tournament in Schenectady (USA),Sports,High,SouthSt_Schenectady_USA,2019-12-06 00:00:00
Basketball Tournament in Albany (USA),Sports,Medium,DelawareAve_Albany_USA,2015-05-14 00:00:00
Business Summit in Albany (USA),Conference,Medium,DelawareAve_Albany_USA,2018-04-06 00:00:00
Rock Concert in Troy (USA),Concert,Low,WashingtonAve_Troy_USA,2016-03-09 00:00:00
Football Match in Albany (USA),Sports,Low,LarkSt_Albany_USA,2019-02-24 00:00:00
AI Congress in Schenectady (USA),Conference,Medium,ClintonAve_Schenectady_USA,2015-03-13 00:00:00
Local Holiday in Schenectady (USA),Holiday,High,ParkAve_Schenectady_USA,2018-10-06 00:00:00
Cultural Festival in Albany (USA),Festival,Medium,WesternAve_Albany_USA,2022-12-12 00:00:00
National Celebration in Schenectady (USA),Holiday,Medium,CentralAve_Schenectady_USA,2016-12-15 00:00:00
City Anniversary in Albany (USA),Holiday,Low,JaySt_Albany_USA,2018-11-09 00:00:00
National Celebration in Albany (USA),Holiday,Medium,ClintonAve_Albany_USA,2024-10-22 00:00:00
Rock Concert in Albany (USA),Concert,Medium,TenBroeckSt_Albany_USA,2021-02-18 00:00:00
Rock Concert in Albany (USA),Concert,Low,TenBroeckSt_Albany_USA,2021-09-14 00:00:00
Triathlon in Albany (USA),Sports,Low,NorthSt_Albany_USA,2015-01-22 00:00:00
Heritage Day in Schenectady (USA),Holiday,Low,DelawareAve_Schenectady_USA,2019-08-06 00:00:00
AI Congress in Albany (USA),Conference,Medium,WesternAve_Albany_USA,2022-12-06 00:00:00
Tech Conference in Albany (USA),Conference,Medium,WesternAve_Albany_USA,2014-09-18 00:00:00
Rock Concert in Albany (USA),Concert,Medium,WashingtonAve_Albany_USA,2017-01-04 00:00:00
Music Festival in Albany (USA),Festival,Low,WashingtonAve_Albany_USA,2025-02-22 00:00:00
Football Match in Albany (USA),Sports,Low,JaySt_Albany_USA,2019-10-22 00:00:00
Food Festival in Albany (USA),Festival,Medium,JaySt_Albany_USA,2022-05-05 00:00:00
Business Summit in Albany (USA),Conference,High,Broadway_Albany_USA,2021-04-22 00:00:00
Food Festival in Albany (USA),Festival,Medium,PearlSt_Albany_USA,2015-09-16 00:00:00
Rock Concert in Albany (USA),Concert,Medium,PearlSt_Albany_USA,2020-12-14 00:00:00
City Anniversary in Albany (USA),Holiday,High,WashingtonAve_Albany_USA,2016-09-20 00:00:00
Food Festival in Albany (USA),Festival,Low,WashingtonAve_Albany_USA,2022-04-25 00:00:00
Rock Concert in Albany (USA),Concert,High,WashingtonAve_Albany_USA,2023-04-10 00:00:00
Pop Music Live in Troy (USA),Concert,High,NorthSt_Troy_USA,2018-08-26 00:00:00
Tech Conference in Albany (USA),Conference,Medium,TenBroeckSt_Albany_USA,2023-09-20 00:00:00
Local Holiday in Albany (USA),Holiday,Medium,TenBroeckSt_Albany_USA,2025-04-09 00:00:00
National Celebration in Troy (USA),Holiday,Medium,HudsonAve_Troy_USA,2016-06-21 00:00:00
Jazz Night in Albany (USA),Concert,High,CentralAve_Albany_USA,2023-07-24 00:00:00
Pop Music Live in Albany (USA),Concert,Medium,CentralAve_Albany_USA,2019-05-20 00:00:00
Jazz Night in Albany (USA),Concert,Medium,ParkAve_Albany_USA,2024-01-18 00:00:00
Marathon in Albany (USA),Sports,Medium,ParkAve_Albany_USA,2024-05-20 00:00:00
Triathlon in Troy (USA),Sports,High,ClintonAve_Troy_USA,2021-05-04 00:00:00
Heritage Day in Schenectady (USA),Holiday,Low,NorthSt_Schenectady_USA,2020-01-15 00:00:00
Business Summit in Schenectady (USA),Conference,Medium,NorthSt_Schenectady_USA,2016-11-15 00:00:00
Startup Meetup in Albany (USA),Conference,Medium,PearlSt_Albany_USA,2024-05-14 00:00:00
Tech Conference in Albany (USA),Conference,High,StateSt_Albany_USA,2025-02-16 00:00:00
Marathon in Albany (USA),Sports,Low,StateSt_Albany_USA,2022-07-28 00:00:00
National Celebration in Albany (USA),Holiday,High,PearlSt_Albany_USA,2019-11-02 00:00:00
City Anniversary in Albany (USA),Holiday,Low,LarkSt_Albany_USA,2015-07-17 00:00:00
Business Summit in Albany (USA),Conference,Medium,LarkSt_Albany_USA,2022-04-03 00:00:00
Jazz Night in Albany (USA),Concert,Medium,StateSt_Albany_USA,2020-09-14 00:00:00
AI Congress in Albany (USA),Conference,High,HudsonAve_Albany_USA,2020-09-01 00:00:00
Startup Meetup in Albany (USA),Conference,High,HudsonAve_Albany_USA,2019-08-02 00:00:00
Startup Meetup in Albany (USA),Conference,Low,ClintonAve_Albany_USA,2015-11-07 00:00:00
Basketball Tournament in Albany (USA),Sports,Low,HudsonAve_Albany_USA,2022-10-29 00:00:00
Classical Concert in Albany (USA),Concert,Low,HudsonAve_Albany_USA,2016-12-03 00:00:00
Heritage Day in Albany (USA),Holiday,High,NorthSt_Albany_USA,2021-02-08 00:00:00
Jazz Night in Albany (USA),Concert,Low,NorthSt_Albany_USA,2023-11-01 00:00:00
Basketball Tournament in Albany (USA),Sports,Low,SouthSt_Albany_USA,2017-11-20 00:00:00
Classical Concert in Albany (USA),Concert,Medium,JaySt_Albany_USA,2015-01-03 00:00:00
Cultural Festival in Albany (USA),Festival,High,JaySt_Albany_USA,2025-01-30 00:00:00
Local Holiday in Albany (USA),Holiday,Low,MadisonAve_Albany_USA,2020-12-07 00:00:00
AI Congress in Albany (USA),Conference,Medium,MadisonAve_Albany_USA,2019-06-09 00:00:00
Marathon in Albany (USA),Sports,Medium,ClintonAve_Albany_USA,2025-01-18 00:00:00
Music Festival in Troy (USA),Festival,Medium,DelawareAve_Troy_USA,2020-01-05 00:00:00
Food Festival in Troy (USA),Festival,Low,JaySt_Troy_USA,2023-08-05 00:00:00
Jazz Night in Troy (USA),Concert,Low,JaySt_Troy_USA,2025-08-23 00:00:00
National Celebration in Troy (USA),Holiday,High,TenBroeckSt_Troy_USA,2018-10-06 00:00:00
City Anniversary in Troy (USA),Holiday,Medium,TenBroeckSt_Troy_USA,2024-02-22 00:00:00
Heritage Day in Albany (USA),Holiday,High,PearlSt_Albany_USA,2021-06-17 00:00:00
Music Festival in Albany (USA),Festival,Low,PearlSt_Albany_USA,2021-07-06 00:00:00
Food Festival in Schenectady (USA),Festival,Low,CentralAve_Schenectady_USA,2016-06-11 00:00:00
Food Festival in Troy (USA),Festival,Low,TenBroeckSt_Troy_USA,2019-01-29 00:00:00
City Anniversary in Troy (USA),Holiday,Medium,TenBroeckSt_Troy_USA,2014-11-11 00:00:00
AI Congress in Troy (USA),Conference,Low,HudsonAve_Troy_USA,2022-03-16 00:00:00
Classical Concert in Albany (USA),Concert,Medium,ParkAve_Albany_USA,2015-10-14 00:00:00
Football Match in Albany (USA),Sports,Medium,Broadway_Albany_USA,2023-10-07 00:00:00
Marathon in Albany (USA),Sports,Low,Broadway_Albany_USA,2016-05-10 00:00:00
Jazz Night in Schenectady (USA),Concert,Medium,DelawareAve_Schenectady_USA,2015-11-22 00:00:00
AI Congress in Schenectady (USA),Conference,Medium,DelawareAve_Schenectady_USA,2020-02-09 00:00:00
City Anniversary in Albany (USA),Holiday,Low,WashingtonAve_Albany_USA,2021-03-15 00:00:00
Film Festival in Albany (USA),Festival,High,WashingtonAve_Albany_USA,2018-02-10 00:00:00
Tech Conference in Albany (USA),Conference,Low,ParkAve_Albany_USA,2017-01-23 00:00:00
Rock Concert in Albany (USA),Concert,High,ParkAve_Albany_USA,2023-09-16 00:00:00
Rock Concert in Albany (USA),Concert,Low,StateSt_Albany_USA,2019-10-10 00:00:00
Heritage Day in Troy (USA),Holiday,Low,CentralAve_Troy_USA,2025-09-04 00:00:00
Pop Music Live in Troy (USA),Concert,High,CentralAve_Troy_USA,2023-08-18 00:00:00
Film Festival in Albany (USA),Festival,Medium,ClintonAve_Albany_USA,2019-01-28 00:00:00
Tech Conference in Troy (USA),Conference,Low,ParkAve_Troy_USA,2018-03-12 00:00:00
Heritage Day in Schenectady (USA),Holiday,High,CentralAve_Schenectady_USA,2025-02-04 00:00:00
Rock Concert in Albany (USA),Concert,Medium,StateSt_Albany_USA,2015-06-26 00:00:00
Startup Meetup in Albany (USA),Conference,Low,JaySt_Albany_USA,2025-05-17 00:00:00
Rock Concert in Albany (USA),Concert,High,TenBroeckSt_Albany_USA,2024-03-30 00:00:00
City Anniversary in Albany (USA),Holiday,Low,LarkSt_Albany_USA,2016-08-07 00:00:00
Jazz Night in Albany (USA),Concert,High,LarkSt_Albany_USA,2022-12-24 00:00:00
Local Holiday in Albany (USA),Holiday,Low,SouthSt_Albany_USA,2017-06-28 00:00:00
Basketball Tournament in Albany (USA),Sports,Medium,HudsonAve_Albany_USA,2024-05-16 00:00:00
Local Holiday in Albany (USA),Holiday,Low,HudsonAve_Albany_USA,2025-05-30 00:00:00
Classical Concert in Schenectady (USA),Concert,High,LarkSt_Schenectady_USA,2016-04-09 00:00:00
Tech Conference in Schenectady (USA),Conference,High,LarkSt_Schenectady_USA,2019-01-27 00:00:00
Food Festival in Albany (USA),Festival,Medium,CentralAve_Albany_USA,2024-12-15 00:00:00
Startup Meetup in Troy (USA),Conference,Medium,Broadway_Troy_USA,2023-11-10 00:00:00
City Anniversary in Troy (USA),Holiday,Low,Broadway_Troy_USA,2019-08-14 00:00:00
Triathlon in Schenectady (USA),Sports,Low,Broadway_Schenectady_USA,2024-10-31 00:00:00
Classical Concert in Schenectady (USA),Concert,Low,Broadway_Schenectady_USA,2017-08-05 00:00:00
Startup Meetup in Albany (USA),Conference,Low,LarkSt_Albany_USA,2017-09-01 00:00:00
AI Congress in Albany (USA),Conference,Low,SouthSt_Albany_USA,2019-07-04 00:00:00
Pop Music Live in Albany (USA),Concert,Medium,SouthSt_Albany_USA,2018-03-23 00:00:00
Pop Music Live in Albany (USA),Concert,Medium,Broadway_Albany_USA,2024-12-15 00:00:00
Business Summit in Albany (USA),Conference,High,Broadway_Albany_USA,2017-03-05 00:00:00
National Celebration in Albany (USA),Holiday,Medium,ClintonAve_Albany_USA,2014-12-26 00:00:00
AI Congress in Albany (USA),Conference,High,ClintonAve_Albany_USA,2024-09-27 00:00:00
National Celebration in Albany (USA),Holiday,Medium,DelawareAve_Albany_USA,2025-04-25 00:00:00
Jazz Night in Albany (USA),Concert,Low,CentralAve_Albany_USA,2024-04-19 00:00:00
Local Holiday in Albany (USA),Holiday,High,CentralAve_Albany_USA,2024-09-15 00:00:00
Food Festival in Albany (USA),Festival,Medium,WesternAve_Albany_USA,2024-04-06 00:00:00
Marathon in Troy (USA),Sports,Medium,Broadway_Troy_USA,2023-04-06 00:00:00
Startup Meetup in Troy (USA),Conference,High,Broadway_Troy_USA,2022-04-07 00:00:00
Cultural Festival in Troy (USA),Festival,High,NorthSt_Troy_USA,2024-02-18 00:00:00
Heritage Day in Albany (USA),Holiday,High,LarkSt_Albany_USA,2022-07-22 00:00:00
Local Holiday in Albany (USA),Holiday,High,LarkSt_Albany_USA,2015-04-07 00:00:00
Business Summit in Albany (USA),Conference,High,WesternAve_Albany_USA,2015-07-06 00:00:00
Local Holiday in Albany (USA),Holiday,High,WesternAve_Albany_USA,2022-05-23 00:00:00
Basketball Tournament in Albany (USA),Sports,Low,TenBroeckSt_Albany_USA,2015-01-05 00:00:00
Cultural Festival in Albany (USA),Festival,Medium,WashingtonAve_Albany_USA,2018-09-13 00:00:00
Football Match in Schenectady (USA),Sports,High,Broadway_Schenectady_USA,2019-02-12 00:00:00
Football Match in Schenectady (USA),Sports,Low,NorthSt_Schenectady_USA,2015-05-20 00:00:00
Pop Music Live in Schenectady (USA),Concert,High,NorthSt_Schenectady_USA,2022-02-27 00:00:00
Classical Concert in Albany (USA),Concert,Low,CentralAve_Albany_USA,2019-09-01 00:00:00
AI Congress in Albany (USA),Conference,Medium,Broadway_Albany_USA,2021-12-22 00:00:00
Film Festival in Albany (USA),Festival,Medium,Broadway_Albany_USA,2022-02-04 00:00:00
Marathon in Schenectady (USA),Sports,Medium,DelawareAve_Schenectady_USA,2025-02-04 00:00:00
Startup Meetup in Schenectady (USA),Conference,High,DelawareAve_Schenectady_USA,2025-04-14 00:00:00
AI Congress in Albany (USA),Conference,Medium,MadisonAve_Albany_USA,2016-09-23 00:00:00
Local Holiday in Albany (USA),Holiday,Low,JaySt_Albany_USA,2018-10-10 00:00:00
Startup Meetup in Albany (USA),Conference,High,StateSt_Albany_USA,2017-10-22 00:00:00
Film Festival in Albany (USA),Festival,Medium,StateSt_Albany_USA,2014-08-03 00:00:00
Film Festival in Albany (USA),Festival,Medium,WesternAve_Albany_USA,2023-03-13 00:00:00
Basketball Tournament in Albany (USA),Sports,Low,WesternAve_Albany_USA,2021-08-20 00:00:00
Business Summit in Albany (USA),Conference,High,PearlSt_Albany_USA,2015-08-02 00:00:00
Cultural Festival in Albany (USA),Festival,Medium,PearlSt_Albany_USA,2014-11-14 00:00:00
Business Summit in Albany (USA),Conference,Low,Broadway_Albany_USA,2024-09-11 00:00:00
Startup Meetup in Albany (USA),Conference,High,Broadway_Albany_USA,2019-02-26 00:00:00
Startup Meetup in Albany (USA),Conference,Low,WesternAve_Albany_USA,2017-05-18 00:00:00
Heritage Day in Albany (USA),Holiday,High,WesternAve_Albany_USA,2024-04-04 00:00:00
Film Festival in Albany (USA),Festival,Low,LarkSt_Albany_USA,2016-01-28 00:00:00
Heritage Day in Schenectady (USA),Holiday,Low,DelawareAve_Schenectady_USA,2023-05-13 00:00:00
Local Holiday in Schenectady (USA),Holiday,Medium,DelawareAve_Schenectady_USA,2020-07-06 00:00:00
Startup Meetup in Albany (USA),Conference,High,ClintonAve_Albany_USA,2018-10-08 00:00:00
Tech Conference in Albany (USA),Conference,High,HudsonAve_Albany_USA,2017-02-12 00:00:00
Local Holiday in Albany (USA),Holiday,High,HudsonAve_Albany_USA,2024-05-30 00:00:00
Business Summit in Troy (USA),Conference,High,WashingtonAve_Troy_USA,2015-03-16 00:00:00
Heritage Day in Troy (USA),Holiday,High,WashingtonAve_Troy_USA,2019-01-28 00:00:00
Local Holiday in Albany (USA),Holiday,Low,PearlSt_Albany_USA,2017-02-16 00:00:00
Triathlon in Troy (USA),Sports,Medium,LarkSt_Troy_USA,2018-08-28 00:00:00
Pop Music Live in Troy (USA),Concert,High,LarkSt_Troy_USA,2022-10-27 00:00:00
Triathlon in Albany (USA),Sports,High,MadisonAve_Albany_USA,2015-08-10 00:00:00
City Anniversary in Albany (USA),Holiday,Medium,MadisonAve_Albany_USA,2014-11-12 00:00:00
Business Summit in Schenectady (USA),Conference,Medium,HudsonAve_Schenectady_USA,2019-06-26 00:00:00
Basketball Tournament in Schenectady (USA),Sports,Low,HudsonAve_Schenectady_USA,2025-06-30 00:00:00
Startup Meetup in Troy (USA),Conference,Low,ParkAve_Troy_USA,2018-12-17 00:00:00
Business Summit in Troy (USA),Conference,Low,ParkAve_Troy_USA,2025-02-20 00:00:00
Food Festival in Albany (USA),Festival,High,WesternAve_Albany_USA,2021-09-01 00:00:00
Music Festival in Troy (USA),Festival,Medium,PearlSt_Troy_USA,2017-03-24 00:00:00
Football Match in Troy (USA),Sports,Low,PearlSt_Troy_USA,2023-10-20 00:00:00
Football Match in Troy (USA),Sports,Low,ParkAve_Troy_USA,2018-03-07 00:00:00
Marathon in Troy (USA),Sports,Medium,ParkAve_Troy_USA,2024-02-15 00:00:00
Business Summit in Albany (USA),Conference,Low,CentralAve_Albany_USA,2021-11-28 00:00:00
Food Festival in Albany (USA),Festival,Low,CentralAve_Albany_USA,2018-07-07 00:00:00
Tech Conference in Albany (USA),Conference,Low,ClintonAve_Albany_USA,2017-06-21 00:00:00
