host_id,response_time,avg_score,total_hostings,superhost,data_empezou_valer,data_deixou_valer,actual
60293220,within an hour,4.13,3,1,2021-10-10 00:00:00,2023-09-10 00:00:00,0
60293220,within an hour,4.33,4,1,2023-09-10 00:00:00,,1
61700428,within an hour,4.04,2,0,2016-05-31 00:00:00,2020-07-01 00:00:00,0
61700428,within an hour,4.24,3,1,2020-07-01 00:00:00,,1
65282034,within an hour,4.0,1,0,2025-08-19 00:00:00,,1
65414985,within an hour,4.17,2,1,2018-03-26 00:00:00,2021-11-28 00:00:00,0
65414985,within an hour,4.37,3,1,2021-11-28 00:00:00,,1
67171774,within an hour,4.19,1,1,2017-11-08 00:00:00,2021-10-01 00:00:00,0
67171774,within an hour,4.39,1,1,2021-10-01 00:00:00,,1
67337944,N/A,4.04,1,0,2022-12-29 00:00:00,,1
69729286,within an hour,4.04,2,0,2020-08-23 00:00:00,2023-02-15 00:00:00,0
69729286,within an hour,4.24,3,0,2023-02-15 00:00:00,,1
69789449,within an hour,4.14,1,1,2021-02-07 00:00:00,2023-05-10 00:00:00,0
69789449,within an hour,4.34,1,1,2023-05-10 00:00:00,,1
71003491,within an hour,4.7,1,1,2025-07-21 00:00:00,,1
75667477,within a day,4.17,1,1,2023-10-03 00:00:00,,1
89705052,within an hour,4.01,2,0,2017-05-29 00:00:00,2021-07-14 00:00:00,0
89705052,within an hour,4.21,3,1,2021-07-14 00:00:00,,1
93905065,within an hour,4.12,1,0,2024-01-23 00:00:00,,1
97330032,within an hour,4.0,1,0,2024-10-28 00:00:00,,1
98744672,within an hour,4.02,8,1,2017-09-11 00:00:00,2021-09-06 00:00:00,0
98744672,within an hour,4.22,12,1,2021-09-06 00:00:00,,1
105597161,within an hour,4.16,1,1,2021-12-31 00:00:00,2023-10-24 00:00:00,0
105597161,within an hour,4.36,1,1,2023-10-24 00:00:00,,1
106636448,within an hour,4.16,1,1,2024-12-10 00:00:00,,1
110453341,within an hour,3.83,1,0,2023-01-29 00:00:00,,1
111760206,within an hour,,1,0,2025-11-19 00:00:00,,1
114183978,within an hour,4.08,1,0,2023-10-22 00:00:00,,1
114629237,within an hour,4.25,1,0,2022-09-10 00:00:00,,1
116935236,within an hour,3.91,5,1,2023-07-23 00:00:00,,1
119340359,within an hour,4.24,2,0,2022-06-05 00:00:00,2024-01-01 00:00:00,0
119340359,within an hour,4.44,3,1,2024-01-01 00:00:00,,1
120815848,within an hour,4.4,1,1,2023-04-07 00:00:00,,1
121680792,within an hour,3.96,6,0,2020-06-28 00:00:00,2023-01-22 00:00:00,0
121680792,within an hour,4.16,9,1,2023-01-22 00:00:00,,1
129023424,within an hour,4.22,1,1,2024-05-27 00:00:00,,1
130404008,within an hour,3.75,1,1,2024-07-31 00:00:00,,1
130497392,N/A,,2,0,2025-11-19 00:00:00,,1
135717458,within an hour,4.05,3,0,2017-12-16 00:00:00,2021-10-23 00:00:00,0
135717458,within an hour,4.25,4,1,2021-10-23 00:00:00,,1
140060931,within an hour,5.0,1,0,2025-08-04 00:00:00,,1
147780154,within a day,,1,0,2025-11-19 00:00:00,,1
152762198,within an hour,4.06,9,1,2017-11-27 00:00:00,2021-10-13 00:00:00,0
152762198,within an hour,4.26,13,1,2021-10-13 00:00:00,,1
159966670,within an hour,4.09,1,0,2025-07-10 00:00:00,,1
160340958,N/A,4.02,1,0,2019-01-10 00:00:00,2022-03-19 00:00:00,0
160340958,N/A,4.22,1,0,2022-03-19 00:00:00,,1
165293595,within an hour,4.1,1,0,2020-10-18 00:00:00,2023-03-22 00:00:00,0
165293595,within an hour,4.3,1,1,2023-03-22 00:00:00,,1
167102397,within a day,3.93,1,0,2025-06-24 00:00:00,,1
172223381,within an hour,3.96,2,1,2019-02-22 00:00:00,2022-05-30 00:00:00,0
172223381,within an hour,4.16,3,1,2022-05-30 00:00:00,,1
172539578,within an hour,4.24,1,1,2023-11-24 00:00:00,,1
172658781,within a day,3.5,1,0,2025-05-04 00:00:00,,1
172861174,within an hour,3.95,1,1,2024-10-12 00:00:00,,1
177073982,within an hour,4.07,2,0,2023-03-07 00:00:00,,1
181867269,within an hour,4.0,2,0,2025-07-27 00:00:00,,1
182509542,within a day,,1,0,2025-11-19 00:00:00,,1
188679144,within an hour,4.22,8,0,2019-07-21 00:00:00,2022-07-28 00:00:00,0
188679144,within an hour,4.42,12,1,2022-07-28 00:00:00,,1
189586864,within an hour,3.95,1,1,2023-08-29 00:00:00,,1
193923901,within an hour,3.94,1,0,2025-07-20 00:00:00,,1
194113768,within an hour,4.29,1,0,2018-10-18 00:00:00,2021-08-13 00:00:00,0
194113768,within an hour,4.49,1,1,2021-08-13 00:00:00,,1
202580880,within an hour,4.31,1,0,2018-10-18 00:00:00,2022-03-11 00:00:00,0
202580880,within an hour,4.51,1,1,2022-03-11 00:00:00,,1
203631769,N/A,4.36,1,0,2022-08-19 00:00:00,,1
210596861,within an hour,4.11,1,1,2023-03-12 00:00:00,,1
212885959,within an hour,3.91,1,0,2024-02-11 00:00:00,,1
232589050,within an hour,4.15,1,1,2025-05-25 00:00:00,,1
232967878,within an hour,4.08,21,1,2019-06-08 00:00:00,2022-07-16 00:00:00,0
232967878,within an hour,4.28,31,1,2022-07-16 00:00:00,,1
233515764,within an hour,4.0,6,0,2023-12-07 00:00:00,,1
241123402,within an hour,4.16,1,0,2023-10-13 00:00:00,,1
252422913,within an hour,4.62,1,0,2025-04-14 00:00:00,,1
253824490,within an hour,3.94,1,0,2023-02-03 00:00:00,,1
261036923,within an hour,4.05,1,1,2023-01-01 00:00:00,,1
265709295,within an hour,4.2,2,1,2022-02-20 00:00:00,2023-11-14 00:00:00,0
265709295,within an hour,4.4,3,1,2023-11-14 00:00:00,,1
265861488,within an hour,4.08,1,1,2025-04-06 00:00:00,,1
268741708,within an hour,4.34,1,1,2023-03-25 00:00:00,,1
270608641,within an hour,3.96,2,1,2024-11-02 00:00:00,,1
272907816,within an hour,4.16,3,0,2020-09-25 00:00:00,2023-03-08 00:00:00,0
272907816,within an hour,4.36,4,0,2023-03-08 00:00:00,,1
283643924,within an hour,4.08,1,0,2023-07-07 00:00:00,,1
299638115,within an hour,4.14,4,1,2019-12-08 00:00:00,2022-10-16 00:00:00,0
299638115,within an hour,4.34,6,1,2022-10-16 00:00:00,,1
309980121,N/A,3.88,1,0,2023-10-14 00:00:00,,1
335923036,within a day,3.95,1,0,2022-06-06 00:00:00,,1
339085327,N/A,,1,0,2025-11-19 00:00:00,,1
349460842,within an hour,3.99,17,1,2020-07-05 00:00:00,2023-01-29 00:00:00,0
349460842,within an hour,4.19,25,1,2023-01-29 00:00:00,,1
353498132,within an hour,4.24,6,1,2020-08-23 00:00:00,2023-02-14 00:00:00,0
353498132,within an hour,4.44,9,1,2023-02-14 00:00:00,,1
355777684,within an hour,4.19,3,1,2020-07-17 00:00:00,2023-02-08 00:00:00,0
355777684,within an hour,4.39,4,1,2023-02-08 00:00:00,,1
358619880,within an hour,4.5,5,0,2024-12-01 00:00:00,,1
360287870,within an hour,4.19,1,1,2023-09-03 00:00:00,,1
360806709,N/A,3.79,1,1,2024-08-05 00:00:00,,1
362851072,N/A,4.17,1,0,2020-08-26 00:00:00,2022-11-04 00:00:00,0
362851072,N/A,4.37,1,1,2022-11-04 00:00:00,,1
363028988,within an hour,5.0,1,0,2025-07-15 00:00:00,,1
374765317,within an hour,4.38,1,1,2023-09-25 00:00:00,,1
382970529,within an hour,4.07,17,1,2021-01-18 00:00:00,2023-05-12 00:00:00,0
382970529,within an hour,4.27,25,1,2023-05-12 00:00:00,,1
385664127,within an hour,4.07,2,1,2021-02-14 00:00:00,2023-04-29 00:00:00,0
385664127,within an hour,4.27,3,1,2023-04-29 00:00:00,,1
385963105,within an hour,4.25,1,0,2025-05-24 00:00:00,,1
392074908,within an hour,4.17,4,0,2021-08-10 00:00:00,2023-08-07 00:00:00,0
392074908,within an hour,4.37,6,1,2023-08-07 00:00:00,,1
394420519,within an hour,4.15,1,0,2021-09-08 00:00:00,2023-08-01 00:00:00,0
394420519,within an hour,4.35,1,1,2023-08-01 00:00:00,,1
414738935,within an hour,4.08,1,0,2021-07-25 00:00:00,2023-08-07 00:00:00,0
414738935,within an hour,4.28,1,1,2023-08-07 00:00:00,,1
416799784,within an hour,4.27,1,1,2021-10-24 00:00:00,2023-08-25 00:00:00,0
416799784,within an hour,4.47,1,1,2023-08-25 00:00:00,,1
418024477,within an hour,4.14,1,1,2025-06-29 00:00:00,,1
418250661,within an hour,4.31,2,0,2024-03-23 00:00:00,,1
426223840,within a day,,1,0,2025-11-19 00:00:00,,1
432936385,within an hour,4.14,1,1,2022-03-20 00:00:00,2023-12-09 00:00:00,0
432936385,within an hour,4.34,1,1,2023-12-09 00:00:00,,1
433096110,within an hour,4.09,3,1,2021-12-13 00:00:00,2023-10-23 00:00:00,0
433096110,within an hour,4.29,4,1,2023-10-23 00:00:00,,1
433884293,N/A,4.25,1,0,2022-10-22 00:00:00,,1
438504176,N/A,,1,0,2025-11-19 00:00:00,,1
439560254,within an hour,4.16,1,1,2022-07-30 00:00:00,2024-02-15 00:00:00,0
439560254,within an hour,4.36,1,1,2024-02-15 00:00:00,,1
440509865,within an hour,4.27,1,0,2024-08-10 00:00:00,,1
441054845,within an hour,4.14,2,1,2023-07-29 00:00:00,,1
444163492,N/A,4.35,1,0,2023-02-22 00:00:00,,1
459472925,within a day,4.02,2,0,2023-05-19 00:00:00,,1
461579260,N/A,3.86,2,0,2022-10-03 00:00:00,,1
462042479,within a day,4.17,2,0,2023-06-28 00:00:00,,1
466389096,within an hour,4.07,2,0,2022-07-15 00:00:00,,1
466790114,within an hour,3.85,22,0,2025-04-01 00:00:00,,1
472965048,within an hour,4.09,2,1,2024-03-31 00:00:00,,1
476189412,within an hour,3.88,1,1,2024-02-09 00:00:00,,1
477328400,within an hour,3.9,1,0,2025-06-01 00:00:00,,1
484673863,within an hour,4.01,3,0,2022-12-28 00:00:00,,1
486073806,within an hour,4.15,1,1,2023-02-19 00:00:00,,1
491907850,within an hour,4.21,1,1,2023-02-15 00:00:00,,1
493882819,within an hour,4.24,6,0,2023-07-17 00:00:00,,1
500360485,N/A,,1,0,2025-11-19 00:00:00,,1
502037254,within a day,4.5,3,0,2023-03-26 00:00:00,,1
502751555,within an hour,,1,0,2025-11-19 00:00:00,,1
512736975,within an hour,3.94,1,1,2023-05-18 00:00:00,,1
516414095,within an hour,3.99,1,0,2023-06-19 00:00:00,,1
521669673,within an hour,3.8,2,0,2023-08-09 00:00:00,,1
522436003,within an hour,3.83,3,1,2024-10-04 00:00:00,,1
526358730,within an hour,4.19,12,0,2023-08-09 00:00:00,,1
528617680,within an hour,3.92,1,0,2024-11-03 00:00:00,,1
529844022,N/A,,1,0,2025-11-19 00:00:00,,1
531209536,within an hour,4.01,2,1,2023-10-18 00:00:00,,1
533703131,N/A,4.25,1,0,2025-04-09 00:00:00,,1
534733076,within an hour,3.62,2,0,2025-08-14 00:00:00,,1
539608284,within a day,,1,0,2025-11-19 00:00:00,,1
542733174,within an hour,4.09,1,1,2024-02-04 00:00:00,,1
553112010,N/A,4.0,1,0,2024-10-26 00:00:00,,1
559146397,within an hour,,2,0,2025-11-19 00:00:00,,1
562084689,within an hour,4.11,2,0,2024-08-28 00:00:00,,1
564967431,within an hour,4.19,3,0,2024-10-19 00:00:00,,1
571617730,within an hour,3.5,1,0,2025-06-22 00:00:00,,1
574235481,N/A,4.12,1,0,2024-05-05 00:00:00,,1
575030103,within an hour,4.12,2,0,2024-05-09 00:00:00,,1
576083630,within an hour,4.18,1,0,2024-05-14 00:00:00,,1
584109093,within an hour,4.14,1,0,2025-03-17 00:00:00,,1
594734396,within an hour,4.0,1,0,2024-09-28 00:00:00,,1
650062372,within an hour,4.42,1,0,2025-05-03 00:00:00,,1
652223872,within an hour,4.0,3,1,2024-10-12 00:00:00,,1
653956114,within an hour,3.9,1,0,2025-01-22 00:00:00,,1
654226760,within an hour,4.23,1,0,2025-07-02 00:00:00,,1
658588120,N/A,,1,0,2025-11-19 00:00:00,,1
661066080,within an hour,4.0,1,0,2025-01-18 00:00:00,,1
663670719,within an hour,3.87,3,1,2024-12-01 00:00:00,,1
664328482,within an hour,4.01,1,0,2025-03-03 00:00:00,,1
666182267,within an hour,4.24,1,1,2025-02-06 00:00:00,,1
675767467,within an hour,3.85,2,0,2025-07-18 00:00:00,,1
677372979,N/A,4.0,1,0,2025-02-27 00:00:00,,1
680411288,within an hour,4.02,1,1,2025-03-18 00:00:00,,1
692671333,within an hour,4.5,1,0,2025-08-30 00:00:00,,1
696324825,within an hour,4.33,4,0,2025-07-26 00:00:00,,1
710552538,within an hour,3.5,1,0,2025-08-19 00:00:00,,1
